project,issuekey,issuetype,from_flow_id,to_flow_id,cycle,rolling_cycle
BBSDEV,BBSDEV-16278,Task,1010006,2000001,0.0,42.0
BBSDEV,BBSDEV-16278,Task,2000001,3010014,0.0,42.0
BBSDEV,BBSDEV-16278,Task,3010014,4010003,2.0,44.0
BBSDEV,BBSDEV-16278,Task,4010003,5000006,,44.0
BBSDEV,BBSDEV-16282,Task,,1000001,45.0,45.0
BBSDEV,BBSDEV-16282,Task,1000001,2000006,,45.0
BBSDEV,BBSDEV-16305,Improvement,,1000001,80.0,80.0
BBSDEV,BBSDEV-16305,Improvement,1000001,2000006,,80.0
BBSDEV,BBSDEV-16312,Task,,1010006,39.0,39.0
BBSDEV,BBSDEV-16312,Task,1010006,2000001,9.0,48.0
BBSDEV,BBSDEV-16312,Task,2000001,3010014,11.0,59.0
BBSDEV,BBSDEV-16312,Task,3010014,4010003,16.0,75.0
BBSDEV,BBSDEV-16312,Task,4010003,5000006,,75.0
BBSDEV,BBSDEV-16313,Task,,1000001,115.0,115.0
BBSDEV,BBSDEV-16313,Task,1000001,2010014,6.0,121.0
BBSDEV,BBSDEV-16313,Task,2010014,3010003,6.0,127.0
BBSDEV,BBSDEV-16313,Task,3010003,4000006,,127.0
BBSDEV,BBSDEV-16314,Task,,1010006,39.0,39.0
BBSDEV,BBSDEV-16314,Task,1010006,2000001,0.0,39.0
BBSDEV,BBSDEV-16314,Task,2000001,3010014,21.0,60.0
BBSDEV,BBSDEV-16314,Task,3010014,4010003,23.0,83.0
BBSDEV,BBSDEV-16314,Task,4010003,5000006,,83.0
BBSDEV,BBSDEV-16317,Task,,1000001,163.0,163.0
BBSDEV,BBSDEV-16317,Task,1000001,2000006,,163.0
BBSDEV,BBSDEV-16351,Sub-task,,1000001,80.0,80.0
BBSDEV,BBSDEV-16351,Sub-task,1000001,2000006,,80.0
BBSDEV,BBSDEV-16352,Sub-task,,1010006,74.0,74.0
BBSDEV,BBSDEV-16352,Sub-task,1010006,2000001,0.0,74.0
BBSDEV,BBSDEV-16352,Sub-task,2000001,3010014,17.0,91.0
BBSDEV,BBSDEV-16352,Sub-task,3010014,4000006,,91.0
BBSDEV,BBSDEV-16353,Sub-task,,1000001,76.0,76.0
BBSDEV,BBSDEV-16353,Sub-task,1000001,2000006,,76.0
BBSDEV,BBSDEV-16354,Sub-task,,1000001,95.0,95.0
BBSDEV,BBSDEV-16354,Sub-task,1000001,2010014,0.0,95.0
BBSDEV,BBSDEV-16354,Sub-task,2010014,3010003,1.0,96.0
BBSDEV,BBSDEV-16354,Sub-task,3010003,4000006,,96.0
BBSDEV,BBSDEV-16355,Sub-task,,1000001,76.0,76.0
BBSDEV,BBSDEV-16355,Sub-task,1000001,2000006,,76.0
BBSDEV,BBSDEV-16384,Task,,1000001,25.0,25.0
BBSDEV,BBSDEV-16384,Task,1000001,2000006,,25.0
BBSDEV,BBSDEV-16385,Task,,1000001,25.0,25.0
BBSDEV,BBSDEV-16385,Task,1000001,2000006,,25.0
