project,issuekey,issuetype,rnk,status,leading_status,lagging_status,category,leading_category,lagging_category,created,started,finished,cycle,rolling_cycle
BBSDEV,BBSDEV-16120,Improvement,2,Open,Triage,,ToDo,ToDo,,2017-09-12 06:03:00,2018-11-02 06:16:15.327,,,416.0
BBSDEV,BBSDEV-16157,Improvement,1,Triage,,Closed,ToDo,,Done,2017-09-19 04:23:00,2017-09-19 04:23:00,2018-03-11 20:29:42.448,173.0,173.0
BBSDEV,BBSDEV-16157,Improvement,2,Closed,Triage,,Done,ToDo,,2017-09-19 04:23:00,2018-03-11 20:29:42.448,,,173.0
BBSDEV,BBSDEV-16203,Improvement,1,Triage,,Open,ToDo,,ToDo,2017-10-12 23:45:00,2017-10-12 23:45:00,2017-12-19 06:55:14.514,67.0,67.0
BBSDEV,BBSDEV-16203,Improvement,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-10-12 23:45:00,2017-12-19 06:55:14.514,2017-12-19 06:55:17.560,0.0,67.0
BBSDEV,BBSDEV-16203,Improvement,3,In progress,Open,Code review,Doing,ToDo,Doing,2017-10-12 23:45:00,2017-12-19 06:55:17.560,2017-12-19 06:55:19.339,0.0,67.0
BBSDEV,BBSDEV-16203,Improvement,4,Code review,In progress,In progress,Doing,Doing,Doing,2017-10-12 23:45:00,2017-12-19 06:55:19.339,2017-12-19 23:16:51.853,0.0,67.0
BBSDEV,BBSDEV-16203,Improvement,5,In progress,Code review,Code review,Doing,Doing,Doing,2017-10-12 23:45:00,2017-12-19 23:16:51.853,2017-12-21 22:34:53.961,1.0,68.0
BBSDEV,BBSDEV-16203,Improvement,6,Code review,In progress,Closed,Doing,Doing,Done,2017-10-12 23:45:00,2017-12-21 22:34:53.961,2018-03-08 21:19:52.127,76.0,144.0
BBSDEV,BBSDEV-16203,Improvement,7,Closed,Code review,Open,Done,Doing,ToDo,2017-10-12 23:45:00,2018-03-08 21:19:52.127,2018-04-17 05:35:54.459,39.0,183.0
BBSDEV,BBSDEV-16203,Improvement,8,Open,Closed,In progress,ToDo,Done,Doing,2017-10-12 23:45:00,2018-04-17 05:35:54.459,2018-05-01 00:42:06.001,13.0,196.0
BBSDEV,BBSDEV-16203,Improvement,9,In progress,Open,,Doing,ToDo,,2017-10-12 23:45:00,2018-05-01 00:42:06.001,,,196.0
BBSDEV,BBSDEV-16220,Epic,1,Open,,In progress,ToDo,,Doing,2017-10-17 04:21:00,2017-10-17 04:21:00,2018-01-31 00:00:14.901,105.0,105.0
BBSDEV,BBSDEV-16220,Epic,2,In progress,Open,Closed,Doing,ToDo,Done,2017-10-17 04:21:00,2018-01-31 00:00:14.901,2018-03-16 00:41:07.110,44.0,149.0
BBSDEV,BBSDEV-16220,Epic,3,Closed,In progress,Done,Done,Doing,Done,2017-10-17 04:21:00,2018-03-16 00:41:07.110,2018-05-28 03:51:02.746,73.0,222.0
BBSDEV,BBSDEV-16220,Epic,4,Done,Closed,,Done,Done,,2017-10-17 04:21:00,2018-05-28 03:51:02.746,,,222.0
BBSDEV,BBSDEV-16222,Epic,1,Open,,Triage,ToDo,,ToDo,2017-10-17 04:21:00,2017-10-17 04:21:00,2018-05-28 03:51:00.011,222.0,222.0
BBSDEV,BBSDEV-16222,Epic,2,Triage,Open,Done,ToDo,ToDo,Done,2017-10-17 04:21:00,2018-05-28 03:51:00.011,2018-05-28 07:42:42.668,0.0,222.0
BBSDEV,BBSDEV-16222,Epic,3,Done,Triage,Dev Queue,Done,ToDo,Doing,2017-10-17 04:21:00,2018-05-28 07:42:42.668,2018-05-31 07:14:48.172,2.0,224.0
BBSDEV,BBSDEV-16222,Epic,4,Dev Queue,Done,Done,Doing,Done,Done,2017-10-17 04:21:00,2018-05-31 07:14:48.172,2018-05-31 07:14:59.034,0.0,224.0
BBSDEV,BBSDEV-16222,Epic,5,Done,Dev Queue,,Done,Doing,,2017-10-17 04:21:00,2018-05-31 07:14:59.034,,,224.0
BBSDEV,BBSDEV-16223,Epic,1,Open,,Triage,ToDo,,ToDo,2017-10-17 04:22:00,2017-10-17 04:22:00,2018-05-28 03:50:59.965,222.0,222.0
BBSDEV,BBSDEV-16223,Epic,2,Triage,Open,Done,ToDo,ToDo,Done,2017-10-17 04:22:00,2018-05-28 03:50:59.965,2018-05-31 07:18:17.137,3.0,225.0
BBSDEV,BBSDEV-16223,Epic,3,Done,Triage,,Done,ToDo,,2017-10-17 04:22:00,2018-05-31 07:18:17.137,,,225.0
BBSDEV,BBSDEV-16227,Sub-task,1,Open,,Closed,ToDo,,Done,2017-10-17 04:31:00,2017-10-17 04:31:00,2018-02-14 06:13:24.356,120.0,120.0
BBSDEV,BBSDEV-16227,Sub-task,2,Closed,Open,,Done,ToDo,,2017-10-17 04:31:00,2018-02-14 06:13:24.356,,,120.0
BBSDEV,BBSDEV-16228,Sub-task,1,Triage,,Open,ToDo,,ToDo,2017-10-17 04:31:00,2017-10-17 04:31:00,2018-01-15 23:18:49.521,90.0,90.0
BBSDEV,BBSDEV-16228,Sub-task,2,Open,Triage,In progress,ToDo,ToDo,Doing,2017-10-17 04:31:00,2018-01-15 23:18:49.521,2018-01-15 23:18:51.646,0.0,90.0
BBSDEV,BBSDEV-16228,Sub-task,3,In progress,Open,Closed,Doing,ToDo,Done,2017-10-17 04:31:00,2018-01-15 23:18:51.646,2018-02-14 04:03:47.318,29.0,119.0
BBSDEV,BBSDEV-16228,Sub-task,4,Closed,In progress,,Done,Doing,,2017-10-17 04:31:00,2018-02-14 04:03:47.318,,,119.0
